username;hashtags;type;post_url;media_url;timestamp;date;comments;likes;caption;username_id;id;geotag_name;geotag_coordinates
itsdougthepug;;photo;https://www.instagram.com/p/BvUP8IwgiZA;https://scontent-amt2-1.cdninstagram.com/vp/0ef73ba10ed7a33016c7396f7c78ea87/5D47485D/t51.2885-15/e35/54446600_2152557864860885_4137013725539560278_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553270152;22-3-2019 16:55;389;97635;“‪What do u want, this better be important” -Doug;272308462;2,0053E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvSk9D1g-fO;https://scontent-amt2-1.cdninstagram.com/vp/e213c5d24a3aec403abe53fafa702d7c/5D34492B/t51.2885-15/e35/53903854_423049354907519_2338276205660231274_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553214060;22-3-2019 1:21;307;93467;“I love u bro” -Doug;;;;
•;;;;;;;;;;;;;
"w/ @hunterrowland""";272308462;2,00483E+18;;;;;;;;;;;
itsdougthepug;;photo;https://www.instagram.com/p/BvRpZU1g_Pf;https://scontent-amt2-1.cdninstagram.com/vp/b1b2e1c4e313402fd484a74d6c5de46b/5D312529/t51.2885-15/e35/53117284_355243441749576_7920720049740627961_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553182835;21-3-2019 16:40;380;83037;“Who wants to be my Spring fling?” -Doug;272308462;2,00457E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvPJcx_AB4X;https://scontent-amt2-1.cdninstagram.com/vp/43a67aad3eca05844cc45f074e4770de/5D4A35CA/t51.2885-15/e35/54247554_403216693803628_8820011612293744763_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553098977;20-3-2019 17:22;270;79174;“When ur almost positive ur friend has a crush on u but u don’t wanna make it awkward” -Doug;;;;
•;;;;;;;;;;;;;
"w/ @whereslink @kristenmcatee @vanilladingdong""";272308462;2,00386E+18;;;;;;;;;;;
itsdougthepug;;photo;https://www.instagram.com/p/BvNZeFTAcsC;https://scontent-amt2-1.cdninstagram.com/vp/feb9faf9ce494e7c07894880a596f04c/5D404A11/t51.2885-15/e35/53236500_2113435065359160_4276767312560451737_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553040267;20-3-2019 1:04;467;84369;‪It’s all unicorns and rainbows 🦄🌈 @jessiepaege ‬;272308462;2,00337E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvMj_07gYun;https://scontent-amt2-1.cdninstagram.com/vp/02eece29fe3969d525ae72c1f4dfbc2c/5D3D279C/t51.2885-15/e35/53293036_1907951139315543_949381275297413598_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553012232;19-3-2019 17:17;420;82366;“‪When u see a taco truck in the distance‬” -Doug;272308462;2,00313E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvK1hKiA-0F;https://scontent-amt2-1.cdninstagram.com/vp/2f8c5ef8a1f0be5e5caa0641ad2b443d/5D3BC606/t51.2885-15/e35/53001685_2253486031395720_7455323002778224405_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552954309;19-3-2019 1:11;329;20683;LOS ANGELES!! U guys have been asking for a meet and greet and now it’s happening! Come meet me at the @clairesstores in Glendale Galleria on Sunday, March 24 from 1-3 PM 🎉🌴;272308462;2,00265E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvKAOiYguq4;https://scontent-amt2-1.cdninstagram.com/vp/78889298164a021fa6ca44134c1f1958/5D2F409D/t51.2885-15/e35/52925195_798740413837230_3356401744300498451_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552926370;18-3-2019 17:26;1028;160648;“‪100% organic fresh squeezed pug‬” -Doug;272308462;2,00241E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvISXpoAXQd;https://scontent-amt2-1.cdninstagram.com/vp/a84d0b5491d374adf477018c387a94a8/5D452B15/t51.2885-15/e35/52407440_170779850576914_190770511462185536_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552868773;18-3-2019 1:26;279;77034;“Happy St. Puggy’s Day!” -Doug;272308462;2,00193E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvHRhAtAm-6;https://scontent-amt2-1.cdninstagram.com/vp/e0a04723054de4fddacd2f5ebe231d5e/5D361534/t51.2885-15/e35/54446780_315524222496150_7890039800278589154_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552834770;17-3-2019 15:59;846;113657;I’m magically delicious! 🍀🌈;272308462;2,00165E+18;;
itsdougthepug;kca;photo;https://www.instagram.com/p/BvE4mN0A8IJ;https://scontent-amt2-1.cdninstagram.com/vp/04e76811cfc704179171c8c2bcc87693/5D4E6F15/t51.2885-15/e35/53165568_155954052070409_1379925618915253245_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1552754597;16-3-2019 17:43;305;67850;“The orange carpet ain’t ready” -Doug;;;;
•;;;;;;;;;;;;;
"So pumped to announce that I will be a special guest at this years @nickelodeon Kids Choice Awards! Who should I get pics with on the carpet? #kca""";272308462;2,00097E+18;;;;;;;;;;;
